Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
77 Park Street ,ABBOTSFORD VIC 3067,ABBOTSFORD,VIC,3067,House,1-Nov-19,private treaty,1830000,4,1,2,443,Biggin & Scott Richmond,-37.8047307,144.994677,2.963781081
7/39 Diamond Boulevard ,GREENSBOROUGH VIC 3088,GREENSBOROUGH,VIC,3088,Apartment ,26-Oct-21,private treaty,341500,2,1,1,447,Fletchers Real Estate Eltham,-37.6866164,145.1147333,19.47161992
1/144 Chute Street ,MORDIALLOC VIC 3195,MORDIALLOC,VIC,3195,Townhouse,23-Oct-21,private treaty,1080000,3,2,2,447,OBrien Real Estate Mentone,-38.0083051,145.0923134,24.38264973
1/9 Elizabeth Street ,BURWOOD VIC 3125,BURWOOD,VIC,3125,Apartment ,28-May-22,auction,1057500,3,2,2,448,Buxton Camberwell,-37.8569745,145.0964212,12.63562464
2/29 Levanto Street ,MENTONE VIC 3194,MENTONE,VIC,3194,Townhouse,7-Apr-21,private treaty,1150000,3,2,2,455,Eview Group - Australia,-37.978826,145.0754845,20.79505102
2/25 True Avenue ,CARRUM VIC 3197,CARRUM,VIC,3197,Villa,28-Jan-22,auction,1150000,3,2,3,457,Barry Plant Bayside,-38.0736685,145.1299522,32.35542351
4/12 Allard Street ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Apartment ,15-Mar-22,private treaty,315000,1,1,1,45,UNKNOWN,-37.7680553,144.9423999,5.449268042
2/135 Boneo Road ,ROSEBUD VIC 3939,ROSEBUD,VIC,3939,Apartment ,28-Apr-22,private treaty,750000,2,1,1,460,UNKNOWN,-38.3837588,144.888508,63.68608726
17 Sandford Street ,HIGHETT VIC 3190,HIGHETT,VIC,3190,Townhouse,2-Apr-22,auction,1613000,4,2,2,461,Buxton Hampton East,-37.9502915,145.0470275,16.83129139
10 Kerr Street ,KINGSVILLE VIC 3012,KINGSVILLE,VIC,3012,House,14-Dec-21,auction,1525000,4,2,2,463,Buxton Inner West,-37.8109907,144.8733798,7.897558792
36 Walter Street ,WILLIAMSTOWN NORTH VIC 3016,WILLIAMSTOWN NORTH,VIC,3016,House,14-Sep-21,private treaty,1340000,3,2,4,464,Mancini Real Estate ,-37.8531475,144.872187,9.089625961
10 Perry Street ,COLLINGWOOD VIC 3066,COLLINGWOOD,VIC,3066,House,23-Jul-11,auction,1900000,4,2,4,465,Jellis Craig Fitzroy,-37.7998914,144.9853626,2.519136634
20A Johnson Drive ,GLEN WAVERLEY VIC 3150,GLEN WAVERLEY,VIC,3150,Townhouse,4-Feb-21,private treaty,1050000,4,3,1,465,LLC Real Estate,-37.8944505,145.1598995,19.44700406
20 Gower Street ,KENSINGTON VIC 3031,KENSINGTON,VIC,3031,House,2-Jul-20,private treaty,1540000,4,1,0,470,Oak Park Real Estate Pty Ltd,-37.79497135,144.9287613,3.704353512
26 St Andrews Court ,BLACK ROCK VIC 3193,BLACK ROCK,VIC,3193,Townhouse,17-Jul-15,private treaty,1550000,4,3,2,470,Hodges Real Estate Beaumaris,-37.9663262,145.0213297,17.67273819
1/61 Herbert Street ,PARKDALE VIC 3195,PARKDALE,VIC,3195,Townhouse,26-May-18,auction,1370000,3,2,2,477,Buxton Real Estate Mentone,-37.9948798,145.0778242,22.47400349
2/72 Chute Street ,MORDIALLOC VIC 3195,MORDIALLOC,VIC,3195,Apartment ,29-Mar-22,private treaty,900000,2,1,1,478,Harcourts Boronia,-38.0035052,145.0937727,23.97237733
58 Bangalore Street ,KENSINGTON VIC 3031,KENSINGTON,VIC,3031,House,15-Feb-20,auction,1950000,3,2,2,479,Jellis Craig Kensington,-37.79411925,144.9239669,4.106370189
8 Walstab Street ,BRIGHTON EAST VIC 3187,BRIGHTON EAST,VIC,3187,Townhouse,17-Oct-21,private treaty,3000000,4,2,3,480,Meridian Real Estate,-37.919799,145.0078307,12.38152823
7/4-6 Maxwell Court ,MOORABBIN VIC 3189,MOORABBIN,VIC,3189,Villa,3-Dec-21,private treaty,1065000,3,1,3,481,Ray White Cheltenham,-37.9438299,145.0477199,16.21592283
13 King Street ,DANDENONG VIC 3175,DANDENONG,VIC,3175,Apartment ,18-Mar-22,private treaty,725000,3,1,2,482,Harcourts Asap Group,-37.983038,145.2162643,29.08819959
313 Park Street ,SOUTH MELBOURNE VIC 3205,SOUTH MELBOURNE,VIC,3205,House,17-Apr-21,private treaty,5300000,5,2,2,482,Marshall White Port Phillip,-37.8371767,144.9558139,2.634050799
31 Newry Street ,WINDSOR VIC 3181,WINDSOR,VIC,3181,House,6-Nov-21,auction,2400000,3,1,2,483,RT Edgar Toorak,-37.8545593,145.000464,5.556414487
2/69 Field Avenue ,EDITHVALE VIC 3196,EDITHVALE,VIC,3196,Apartment ,11-Jun-22,auction,772000,2,1,1,483,Eview Group - Australia,-38.0358771,145.1138186,27.97515722
3A Eulinga Avenue ,ASPENDALE VIC 3195,ASPENDALE,VIC,3195,Townhouse,23-Nov-19,private treaty,1175000,3,2,2,485,Buxton Chelsea,-38.0152177,145.0982789,25.3067269
15 Exeter Grove ,BELMONT VIC 3216,BELMONT,VIC,3216,Townhouse,15-Nov-21,private treaty,1425000,3,2,2,485,Barry Plant Highton,-38.1696858,144.3351102,67.78130803
1/468 McClelland Drive ,LANGWARRIN VIC 3910,LANGWARRIN,VIC,3910,Apartment ,8-Mar-22,private treaty,715500,3,1,2,485,Nicholas Lynch,-38.1425873,145.1765753,41.03841491
18 Lonsdale Street ,SOUTH GEELONG VIC 3220,SOUTH GEELONG,VIC,3220,House,18-Feb-22,private treaty,1310000,4,2,3,487,McGrath Geelong | Newtown,-38.1575237,144.3561006,65.50127662
5 Harding Street ,BENTLEIGH VIC 3204,BENTLEIGH,VIC,3204,Townhouse,30-Apr-16,auction,1485000,4,3,2,487,Buxton Hampton East,-37.928934,145.0325079,14.13823341
10A Grove Road ,ROSANNA VIC 3084,ROSANNA,VIC,3084,Townhouse,30-Apr-21,auction,1615000,3,2,2,489,Nelson Alexander Ivanhoe,-37.7459653,145.069147,12.01872545
202/1 Faulkner Street ,BENTLEIGH VIC 3204,BENTLEIGH,VIC,3204,Apartment ,11-Apr-22,private treaty,490000,2,1,1,48,Buxton Stonnington,-37.9323275,145.0373655,14.66419973
5/1443 Main Road ,ELTHAM VIC 3095,ELTHAM,VIC,3095,Townhouse,20-Oct-21,auction,1106000,3,2,2,490,Jellis Craig Eltham,-37.7026482,145.1687099,21.92560497
17 New Street ,BRIGHTON VIC 3186,BRIGHTON,VIC,3186,Villa,6-Aug-16,auction,1900000,3,2,2,490,Marshall White Bayside,-37.9090357,144.9922766,10.85210159
1B Parkmore Road ,BENTLEIGH EAST VIC 3165,BENTLEIGH EAST,VIC,3165,Townhouse,25-Aug-21,auction,1500000,4,2,2,490,Buxton Real Estate Bentleigh,-37.9158327,145.073918,14.91105141
1/29 Browning Avenue ,CLAYTON SOUTH VIC 3169,CLAYTON SOUTH,VIC,3169,Apartment ,30-Apr-22,auction,940000,3,2,2,493,UNKNOWN,-37.9357807,145.1334599,20.1592827
4 Morres Street ,RIPPONLEA VIC 3185,RIPPONLEA,VIC,3185,House,23-Oct-20,private treaty,2400000,4,2,2,495,The Agency - Port Phillip / Bayside,-37.8759832,144.9946518,7.40609063
16 The Fairway ,KINGSBURY VIC 3083,KINGSBURY,VIC,3083,House,7-Jan-22,private treaty,1210000,3,3,2,5,McGrath Box Hill,-37.7129825,145.038226,13.05236407
813/8 Marmion Place ,DOCKLANDS VIC 3008,DOCKLANDS,VIC,3008,Apartment ,30-Nov-21,auction,373000,1,1,1,5,Barry Plant Docklands,-37.8135357,144.9426598,1.803065953
1A Aitken Crescent ,KINGLAKE VIC 3763,KINGLAKE,VIC,3763,House,30-Oct-21,auction,336000,1,1,6,5,UNKNOWN,-37.5327424,145.341131,45.68932214
108/43 High Street ,PRESTON VIC 3072,PRESTON,VIC,3072,Apartment ,20-Jan-22,private treaty,430000,1,1,1,5,Oxbridge,-37.739517,145.0037951,9.044366958
4/111 Kelvinside Road ,NOBLE PARK VIC 3174,NOBLE PARK,VIC,3174,Apartment ,8-Nov-17,auction,233000,1,1,1,5,Ray White Noble Park,-37.9644827,145.1785733,25.23731579
1/12 Hitchcock Avenue ,BARWON HEADS VIC 3227,BARWON HEADS,VIC,3227,Townhouse,20-Feb-21,auction,1770000,3,2,2,5,Bellarine Property Pty Ltd,-38.2822111,144.4915116,66.45630016
15 Cooney Circuit ,KALKALLO VIC 3064,KALKALLO,VIC,3064,House,2-Apr-22,auction,841000,6,2,2,5,My Agent Real Estate,-37.5292068,144.9623844,31.70177745
18B Banksia Avenue ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,Townhouse,16-Jan-22,private treaty,1730000,3,2,2,5,Buxton Real Estate Sandringham,-37.9891924,145.0417124,20.64744136
17 Curran Street ,NORTH MELBOURNE VIC 3051,NORTH MELBOURNE,VIC,3051,House,19-Oct-16,private treaty,2925000,4,2,2,5,Jellis Craig Fitzroy,-37.792366,144.9444932,2.932429167
1/90 Thomas Street ,BRIGHTON EAST VIC 3187,BRIGHTON EAST,VIC,3187,Townhouse,26-Feb-22,auction,2310000,4,4,2,5,UNKNOWN,-37.9200721,145.0219862,12.85739166
1-7/181 Hotham Street ,RIPPONLEA VIC 3185,RIPPONLEA,VIC,3185,Block of units,26-Sep-18,private treaty,2876000,1,7,5,5,McGrath St Kilda,-37.8758915,144.9952063,7.414981529
26-30 Pietro Road ,HEATHERTON VIC 3202,HEATHERTON,VIC,3202,House,30-Nov-21,private treaty,2400000,4,3,6,5427,UNKNOWN,-37.9564022,145.0935926,19.52504658
11 Cooney Street ,MOOLAP VIC 3224,MOOLAP,VIC,3224,House,4-Jun-22,auction,1340000,4,2,8,5667,Hodges Geelong,-38.1721801,144.4144292,62.44194216
240 Glendale Lane ,TAGGERTY VIC 3714,TAGGERTY,VIC,3714,House,31-Mar-20,private treaty,357000,2,1,0,5777,UNKNOWN,-37.3500728,145.6753804,81.2810453
2/28 Tarella Road ,CHELSEA VIC 3196,CHELSEA,VIC,3196,Apartment ,26-Feb-22,auction,900000,3,2,1,500,Buxton Oakleigh,-38.0455585,145.1158002,29.00814441
12 Fenway Street ,STRATHTULLOH VIC 3338,STRATHTULLOH,VIC,3338,House,4-May-22,private treaty,680000,4,2,2,500,Barry Plant Melton,-37.7180518,144.5923033,34.3186628
10/42 Eastbourne Street ,WINDSOR VIC 3181,WINDSOR,VIC,3181,Apartment ,31-May-22,private treaty,335000,1,1,1,501,Ray White Mordialloc,-37.8529026,144.9931877,5.047109496
2/25 Park Road ,MOUNT WAVERLEY VIC 3149,MOUNT WAVERLEY,VIC,3149,Apartment ,2-Oct-21,auction,1352000,3,2,2,504,LLC Real Estate,-37.8661234,145.1238135,15.24724297
91 Kerferd Road ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,House,16-Jun-17,private treaty,5250000,6,2,3,505,Marshall White Port Phillip,-37.84556835,144.9560878,3.542069547
6 Fintona Crescent ,CRANBOURNE WEST VIC 3977,CRANBOURNE WEST,VIC,3977,House,28-Apr-22,auction,1156000,4,2,2,508,Buxton Real Estate Dingley Village,-38.1080884,145.2400645,40.72025915
450 Queensberry Street ,NORTH MELBOURNE VIC 3051,NORTH MELBOURNE,VIC,3051,House,18-Aug-16,auction,3500000,5,2,1,511,Jellis Craig Kensington,-37.80324283,144.9526984,1.528232134
1/36 Towers Street ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,Townhouse,10-Aug-19,auction,1280000,4,3,2,512,Buxton Real Estate Sandringham,-37.9751048,145.0517124,19.51056817
15 Grammar Avenue ,DONNYBROOK VIC 3064,DONNYBROOK,VIC,3064,House,15-Apr-22,private treaty,825000,4,3,2,512,UNKNOWN,-37.5395774,144.9985456,30.70660097
227 - 229 Cecil Street ,SOUTH MELBOURNE VIC 3205,SOUTH MELBOURNE,VIC,3205,House,27-Feb-16,auction,3970000,5,2,4,513,Jellis Craig Port Phillip,-37.8327027,144.9577114,2.111104921
1/37 Hinkler Road ,GLEN WAVERLEY VIC 3150,GLEN WAVERLEY,VIC,3150,Townhouse,1-Feb-20,auction,1401000,3,2,3,514,UNKNOWN,-37.8811208,145.1720475,19.79869145
1/10 Joanna Court ,MOUNT WAVERLEY VIC 3149,MOUNT WAVERLEY,VIC,3149,Apartment ,17-Apr-21,private treaty,980000,3,1,2,514,UNKNOWN,-37.8860009,145.1306954,16.74113008
68 Manningham Street ,PARKVILLE VIC 3052,PARKVILLE,VIC,3052,House,14-Jan-20,private treaty,1690000,5,2,1,515,Jellis Craig Fitzroy,-37.7876562,144.9422821,3.477894843
20A Gregory Street ,OAK PARK VIC 3046,OAK PARK,VIC,3046,Townhouse,13-Mar-21,auction,1050000,4,2,2,515,Barry Plant Glenroy,-37.7228448,144.9152584,11.00155554
2/69 Crisp Street ,HAMPTON VIC 3188,HAMPTON,VIC,3188,Townhouse,25-Sep-21,auction,1600000,3,2,2,517,Buxton Real Estate Sandringham,-37.9413738,145.0073306,14.66556393
18/48 Langmore Lane ,BERWICK VIC 3806,BERWICK,VIC,3806,Apartment ,8-Nov-18,private treaty,1350000,4,2,2,519,Peake Real Estate,-38.0329271,145.3436904,41.31071145
5/22-24 Lindsay Street ,NEWCOMB VIC 3219,NEWCOMB,VIC,3219,Apartment ,18-Feb-21,private treaty,261000,1,1,1,51,McGrath Geelong | Newtown,-38.1650678,144.3936292,63.36871214
3-5 Dundas Lane ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,House,19-Feb-22,auction,5875000,4,3,2,520,Cayzer Real Estate Albert Park,-37.8417124,144.9568828,3.107580947
1/32 Langmore Lane ,BERWICK VIC 3806,BERWICK,VIC,3806,Apartment ,18-Jun-22,auction,1130000,3,2,2,520,Peake Real Estate,-38.0329271,145.3436904,41.31071145
10/113 Country Club Drive ,SAFETY BEACH VIC 3936,SAFETY BEACH,VIC,3936,Apartment ,24-Apr-22,private treaty,694000,3,1,2,520,UNKNOWN,-38.3292566,144.9853691,57.32069813
2/17 Belle Crescent ,MORDIALLOC VIC 3195,MORDIALLOC,VIC,3195,Townhouse,13-Mar-21,auction,1068000,3,2,2,524,OBrien Real Estate Mentone,-37.9931072,145.0945555,22.99802601
4/23 Tarella Road ,CHELSEA VIC 3196,CHELSEA,VIC,3196,Apartment ,20-May-22,private treaty,930000,3,1,2,528,OBrien Real Estate Carrum Downs,-38.0455585,145.1158002,29.00814441
1/71 Nell Street ,GREENSBOROUGH VIC 3088,GREENSBOROUGH,VIC,3088,Apartment ,7-Oct-21,auction,993000,4,2,1,528,UNKNOWN,-37.7100262,145.1075785,17.19241244
8/1-27 Punt Street ,CRAIGIEBURN VIC 3064,CRAIGIEBURN,VIC,3064,Apartment ,21-Feb-22,private treaty,405000,2,1,1,52,Ray White Epping,-37.6022613,144.9430882,23.64194002
3/91 Karingal Drive ,BRIAR HILL VIC 3088,BRIAR HILL,VIC,3088,Townhouse,17-Dec-21,private treaty,1200000,3,2,2,532,Morrison Kleeman Estate Agents,-37.7017083,145.1219695,18.75215902
2/14 Russell Crescent ,MOUNT WAVERLEY VIC 3149,MOUNT WAVERLEY,VIC,3149,Townhouse,14-May-22,auction,1485500,4,2,2,533,Buxton Mount Waverley,-37.8861369,145.1305341,16.73589314
92 Olivine Boulevard ,DONNYBROOK VIC 3064,DONNYBROOK,VIC,3064,House,12-Mar-22,auction,812000,5,3,2,536,Bombay Real Estate Pty Ltd,-37.5431344,144.9960874,30.29154349
45 Waters Drive ,SEAHOLME VIC 3018,SEAHOLME,VIC,3018,House,15-Oct-21,auction,1209500,4,2,2,536,Barlow McEwan Tribe Altona,-37.8590695,144.8469674,11.36099826
2/29 Dalny Road ,MURRUMBEENA VIC 3163,MURRUMBEENA,VIC,3163,Townhouse,12-Dec-19,auction,1335000,4,2,3,540,Jellis Craig Carnegie,-37.9022925,145.0698305,13.55454843
39 Tattler Street ,CARRUM DOWNS VIC 3201,CARRUM DOWNS,VIC,3201,House,26-Mar-22,auction,732500,3,1,2,541,Ray White Frankston,-38.1036698,145.1890488,37.80221023
3 Lynn Street ,SEAFORD VIC 3198,SEAFORD,VIC,3198,Apartment ,26-Jun-22,private treaty,790000,2,2,2,544,Jo Barclay,-38.0956281,145.1315117,34.60887028
75 Hodgkinson Street ,CLIFTON HILL VIC 3068,CLIFTON HILL,VIC,3068,House,27-Feb-18,private treaty,3270000,4,1,2,544,Jellis Craig Fitzroy,-37.7907996,144.9883866,3.420515404
76 Market Road ,WERRIBEE VIC 3030,WERRIBEE,VIC,3030,Semi-detached,15-Oct-21,private treaty,430000,3,1,0,547,Hodges Werribee,-37.8980456,144.661994,28.04446987
2/4 Watersedge Terrace ,HIGHTON VIC 3216,HIGHTON,VIC,3216,Townhouse,11-Dec-21,auction,1321000,3,2,2,549,Barry Plant Highton,-38.1512612,144.3202143,67.69585625
41A Heales Street ,DROMANA VIC 3936,DROMANA,VIC,3936,Townhouse,27-Feb-21,private treaty,1342000,4,2,2,551,UNKNOWN,-38.3368003,144.959602,58.12762179
3/93 Arthur Street ,ELTHAM VIC 3095,ELTHAM,VIC,3095,Townhouse,9-Jun-18,private treaty,1500000,4,2,2,552,Jellis Craig Eltham,-37.715388,145.1568645,20.2718349
149 Canterbury Road ,MIDDLE PARK VIC 3206,MIDDLE PARK,VIC,3206,House,31-Oct-18,private treaty,4930000,4,3,2,553,Cayzer Real Estate Albert Park,-37.8525868,144.9682651,4.291291654
5 Ashwell Avenue ,WILLIAMS LANDING VIC 3027,WILLIAMS LANDING,VIC,3027,House,13-Nov-21,auction,1080000,5,3,2,555,UNKNOWN,-37.8641457,144.7330159,20.96532734
23 Myuna Drive ,KINGS PARK VIC 3021,KINGS PARK,VIC,3021,House,9-May-22,auction,635000,3,2,2,557,UNKNOWN,-37.7363837,144.7798851,18.29176533
30 Tadstan Drive ,TULLAMARINE VIC 3043,TULLAMARINE,VIC,3043,House,20-Apr-22,private treaty,850000,3,2,2,558,HPG ESTATE AGENTS,-37.6951337,144.8780146,15.21571558
4 Keith Street ,COBURG VIC 3058,COBURG,VIC,3058,House,4-Feb-22,Another Method,1630000,5,2,4,558,Property Now,-37.7415044,144.9756221,8.161737378
6 Clifton Street ,CLIFTON HILL VIC 3068,CLIFTON HILL,VIC,3068,House,13-Oct-15,auction,2295000,5,2,2,560,Jellis Craig Fitzroy,-37.7869683,145.0048511,4.755213928
28 Gordon Street ,NEWPORT VIC 3015,NEWPORT,VIC,3015,Townhouse,5-May-21,private treaty,1250000,4,3,2,560,UNKNOWN,-37.8369842,144.8670835,8.812853442
36-38 Hotham Street ,EAST MELBOURNE VIC 3002,EAST MELBOURNE,VIC,3002,House,4-Jun-16,auction,5100000,4,2,4,565,Caine Real Estate,-37.8140996,144.9847057,1.893238103
263 Glenlyon Road ,FITZROY NORTH VIC 3068,FITZROY NORTH,VIC,3068,House,29-Mar-22,auction,1800000,4,3,2,568,Raine & Horne Brunswick,-37.77352795,144.9811888,4.79528162
2/33 Settlement Road ,BELMONT VIC 3216,BELMONT,VIC,3216,Apartment ,8-Feb-22,private treaty,295000,1,1,1,56,Wilsons,-38.1816097,144.3362892,68.4768772
18 Myrtle Drive ,MAIDSTONE VIC 3012,MAIDSTONE,VIC,3012,House,14-Dec-19,private treaty,1580000,6,4,2,570,Harcourts West Realty,-37.7747861,144.8730213,9.055830624
38 Higgins Street ,FRASER RISE VIC 3336,FRASER RISE,VIC,3336,House,25-Jun-22,auction,1258000,4,2,2,576,Andrew Koulaouzos,-37.7064849,144.7272072,23.96052766
11 Tetbury Avenue ,WEIR VIEWS VIC 3338,WEIR VIEWS,VIC,3338,House,2-Apr-22,private treaty,710000,4,2,2,576,UNKNOWN,-37.7310394,144.5697335,35.80655614
10 Lincolnshire Drive ,THORNHILL PARK VIC 3335,THORNHILL PARK,VIC,3335,House,28-May-22,private treaty,825000,5,2,2,577,YPA Estate Agents Melton,-37.7077251,144.6207528,32.35585337
2 Hatty Court ,CAMPBELLFIELD VIC 3061,CAMPBELLFIELD,VIC,3061,House,6-May-22,auction,540000,3,1,2,578,HockingStuart Reservoir,-37.6734817,144.9718192,15.67254419
8 Westcott Parade ,ROCKBANK VIC 3335,ROCKBANK,VIC,3335,House,29-Mar-21,auction,410000,3,1,1,579,Barry Plant Melton,-37.7286829,144.653188,28.86654972
2/64 Madeley Street ,OCEAN GROVE VIC 3226,OCEAN GROVE,VIC,3226,Townhouse,17-Dec-20,private treaty,1100000,3,2,2,579,Bellarine Property Pty Ltd,-38.261745,144.5242352,62.90010638
918 Drummond Street ,CARLTON NORTH VIC 3054,CARLTON NORTH,VIC,3054,House,15-Mar-21,private treaty,3400000,3,1,2,581,Nelson Alexander | Carlton,-37.7825113,144.9715613,3.6031435
6 HITCHCOCK STREET ,BREAKWATER VIC 3219,BREAKWATER,VIC,3219,House,8-Dec-20,auction,434000,3,1,1,581,Real Estate Geelong Pty Ltd,-38.1779174,144.3782652,65.30717612
36 Kilberry Crescent ,HALLAM VIC 3803,HALLAM,VIC,3803,House,12-Mar-22,auction,880500,4,2,2,581,UNKNOWN,-37.998727,145.2670778,33.6541772
37/113 Country Club Drive ,SAFETY BEACH VIC 3936,SAFETY BEACH,VIC,3936,Apartment ,13-Jul-22,auction,720000,3,1,2,583,UNKNOWN,-38.3292566,144.9853691,57.32069813
11 Howard Street ,SOUTH YARRA VIC 3141,SOUTH YARRA,VIC,3141,Townhouse,23-Jun-21,private treaty,1150000,2,2,0,58,Sale by Home Owner ,-37.8441019,144.9931424,4.241124501
1-3/289 Millers Road ,ALTONA NORTH VIC 3025,ALTONA NORTH,VIC,3025,Block of units,9-Dec-21,private treaty,1630000,6,3,3,590,UNKNOWN,-37.8378229,144.8342853,11.62316142
31 Collier Court ,STRATHMORE HEIGHTS VIC 3041,STRATHMORE HEIGHTS,VIC,3041,House,2-Feb-22,private treaty,930000,3,2,2,592,Nelson Alexander Essendon,-37.71153535,144.8900346,13.10703063
11 Lime Street ,WHITTLESEA VIC 3757,WHITTLESEA,VIC,3757,House,29-Jan-21,auction,402500,4,1,2,593,Ray White Diamond Creek,-37.5133672,145.1189487,36.16586019
65 Garnett Street ,HUNTINGDALE VIC 3166,HUNTINGDALE,VIC,3166,House,5-Feb-22,private treaty,1150000,3,1,3,594,Buxton Oakleigh,-37.9040841,145.1088379,16.23516899
64 Newell Street ,FOOTSCRAY VIC 3011,FOOTSCRAY,VIC,3011,House,20-Jun-20,auction,1628000,4,2,4,595,Jas Stephens Real Estate Yarraville,-37.7970958,144.9010844,5.778267038
33 Hawksburn Road ,SOUTH YARRA VIC 3141,SOUTH YARRA,VIC,3141,House,15-Oct-16,auction,5400000,4,2,2,596,Kay & Burton South Yarra,-37.8424197,145.0017659,4.61990892
2/4 Myers Avenue ,GLEN WAVERLEY VIC 3150,GLEN WAVERLEY,VIC,3150,Apartment ,3-Mar-18,auction,1450000,3,2,2,597,Barry Plant Monash,-37.8742816,145.1596335,18.50546647
203/5 Maude Street ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,Apartment ,22-Mar-22,private treaty,505000,1,1,1,59,Pitard Group,-37.9642605,145.0543024,18.5078654
1-10/55 Swan Street ,FOOTSCRAY VIC 3011,FOOTSCRAY,VIC,3011,Block of units,26-May-22,private treaty,2050000,1,1,2,6,UNKNOWN,-37.7981339,144.897345,6.054337178
8/16 South Circular Road ,GLADSTONE PARK VIC 3043,GLADSTONE PARK,VIC,3043,Apartment ,31-Oct-17,private treaty,210000,1,1,0,6,Stockdale & Leggo Gladstone Park,-37.6918336,144.890422,15.0408926
38/1251 Plenty Road ,BUNDOORA VIC 3083,BUNDOORA,VIC,3083,Apartment ,14-Sep-16,private treaty,161000,2,1,1,6,UNKNOWN,-37.69730565,145.0662544,15.85251979
5/1 Kinnordy Court ,HAMLYN HEIGHTS VIC 3215,HAMLYN HEIGHTS,VIC,3215,Apartment ,7-Oct-20,private treaty,220000,1,1,0,6,Ray White Lara,-38.116314,144.3279926,65.0496312
2/6 Casaceli Court ,WHITTINGTON VIC 3219,WHITTINGTON,VIC,3219,Apartment ,27-Jan-21,private treaty,249000,1,1,1,6,McGrath Geelong | Newtown,-38.1797043,144.3843101,65.0156529
12/48 Chomley Street ,PRAHRAN VIC 3181,PRAHRAN,VIC,3181,Apartment ,14-Jul-22,private treaty,480000,2,1,1,6,Ray White Forest Hill,-37.8565497,145.005771,6.015157995
30 Nicholas Grove ,HEATHERTON VIC 3202,HEATHERTON,VIC,3202,House,19-Jul-22,auction,910000,3,2,2,6,UNKNOWN,-37.9535241,145.0877371,18.96579303
1-6/289 Mansfield Street ,THORNBURY VIC 3071,THORNBURY,VIC,3071,Block of units,2-May-19,auction,2200000,8,6,6,6,    Love & Co,-37.7550276,144.9986139,7.284098346
10 Marriage Road ,BRIGHTON EAST VIC 3187,BRIGHTON EAST,VIC,3187,Duplex,28-Mar-22,private treaty,2719000,4,3,4,6,Shelter Real Estate,-37.9196249,145.0164337,12.6231787
1-10/25 Spencer Street ,NORTHCOTE VIC 3070,NORTHCOTE,VIC,3070,Block of units,2-Dec-19,private treaty,2700000,1,1,1,6,    Love & Co,-37.7728157,145.0009469,5.67785183
38-40 Mooltan Street ,TRAVANCORE VIC 3032,TRAVANCORE,VIC,3032,House,10-Sep-21,private treaty,2725000,5,2,3,6,Jellis Craig Kensington,-37.7806018,144.9368101,4.398253423
1-4/64 Wilson Street ,MOONEE PONDS VIC 3039,MOONEE PONDS,VIC,3039,Block of units,23-Oct-21,auction,2250000,2,1,6,6,Brad Teal Woodards Essendon,-37.765935,144.9192614,6.613026081
12 Delatite Court ,YALLAMBIE VIC 3085,YALLAMBIE,VIC,3085,House,3-Dec-21,private treaty,1485000,4,3,3,6,Nelson Alexander Ivanhoe,-37.7196126,145.0996529,15.96143045
1-8/45 Belsize Avenue ,CARNEGIE VIC 3163,CARNEGIE,VIC,3163,Block of units,5-Jul-21,auction,2675000,8,8,8,6,   Gary Peer,-37.8933729,145.0559135,11.9947914
13 Southey Street ,ELWOOD VIC 3184,ELWOOD,VIC,3184,Block of units,22-May-21,auction,2631000,6,2,3,6,  Gary Peer,-37.8755627,144.9858159,7.10764631
29 Sandstone Island Circle ,BITTERN VIC 3918,BITTERN,VIC,3918,House,22-May-21,auction,2100000,4,2,8,6070,McEwing Partners,-38.3251883,145.1762967,59.82109751
25 Lesley Avenue ,POINT LEO VIC 3916,POINT LEO,VIC,3916,House,1-May-14,auction,1905000,5,3,2,6982,Kay & Burton Flinders,-38.4195861,145.0736123,68.02521335
100 -140 Gleesons Road ,LITTLE RIVER VIC 3211,LITTLE RIVER,VIC,3211,House,11-Apr-18,private treaty,1850000,4,2,9,60700,UNKNOWN,-37.9748005,144.5147984,43.21911326
40 Bates Road ,LITTLE RIVER VIC 3211,LITTLE RIVER,VIC,3211,House,18-Dec-21,auction,1650000,4,2,4,61800,First National Westwood ,-37.9863723,144.4997321,44.95674748
460 Wildwood Road ,WILDWOOD VIC 3429,WILDWOOD,VIC,3429,House,7-Mar-22,private treaty,1850000,4,2,3,68800,RT Edgar Macedon Ranges Gisborne,-37.5925813,144.7971463,28.65653288
3 Jagger Circuit ,CRANBOURNE EAST VIC 3977,CRANBOURNE EAST,VIC,3977,House,21-Jun-22,auction,701000,4,2,2,600,Harcourts First,-38.1150319,145.2912595,44.12880056
111 Suspension Street ,ARDEER VIC 3022,ARDEER,VIC,3022,House,1-Apr-22,auction,850000,5,1,2,600,Barry Plant Sunshine,-37.7821851,144.804808,14.36660151
