Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
9/7-9 Gerard Street ,CAULFIELD VIC 3162,CAULFIELD,VIC,3162,Villa,28-May-22,private treaty,865000,3,1,1,0,Marshall White,-37.8809157,145.0212188,9.002351949
1/10A Aberfeldie Street ,ABERFELDIE VIC 3040,ABERFELDIE,VIC,3040,Villa,25-Jun-22,auction,880000,2,1,3,0,Nelson Alexander Essendon,-37.7604553,144.9052607,7.85267616
47A Wilson Street ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,Villa,18-Jun-22,auction,887500,2,1,2,0,UNKNOWN,-37.9613423,145.0593889,18.41626826
4/2 Willow Grove ,COBURG VIC 3058,COBURG,VIC,3058,Villa,17-May-22,auction,803000,2,1,1,0,Nelson Alexander | Coburg,-37.7490696,144.9565382,7.269751254
1/7 Bieske Road ,GROVEDALE VIC 3216,GROVEDALE,VIC,3216,Apartment ,4-Dec-21,auction,336000,1,1,1,0,UNKNOWN,-38.2050522,144.3357612,70.09358348
79a Winifred Street ,OAK PARK VIC 3046,OAK PARK,VIC,3046,Villa,23-Apr-22,auction,920000,3,2,2,0,Nelson Alexander Pascoe Vale,-37.7214312,144.9198493,11.00081351
3/422-426 Glenferrie Road ,KOOYONG VIC 3144,KOOYONG,VIC,3144,Apartment ,11-Aug-18,auction,1630000,3,1,1,0, Jellis Craig & Company Pty Ltd,-37.841394,145.0358402,7.064668428
186-188 Hoddle Street ,ABBOTSFORD VIC 3067,ABBOTSFORD,VIC,3067,Studio,28-May-15,private treaty,1650000,1,4,0,0,RT Edgar Boroondara,-37.8046487,144.9922944,2.772617842
24C Arndt Road ,PASCOE VALE VIC 3044,PASCOE VALE,VIC,3044,Villa,13-Apr-22,private treaty,885000,3,2,2,0,MATTHEWS.,-37.7211554,144.9360694,10.62184215
1B Thistle Grove ,HIGHETT VIC 3190,HIGHETT,VIC,3190,Villa,11-May-22,auction,950000,2,2,1,0,Belle Property Carlton,-37.9504039,145.0428534,16.68559518
